Item,Elementos,module,Magento_Checkout
"Allow remote shopping assistance", "Permitir asistencia de compra remota"
"This allows merchants to ""see what you see"" and take actions on your behalf in order to provide better assistance.", "Esto permite al comercio ""ver lo que usted ve"" y tomar medidas en su nombre para brindarle una mejor asistencia."
"My Account","Resumen",module,Magento_Customer
"Popular Suggestions", "Sugerencias"
"Increase the quantity", "Incrementar la cantidad"
"Reduce the quantity", "Reducir la cantidad"
"Linked Accounts", "Cuentas vinculadas"
"Unlink", "Desvincular"
"My Social Accounts", "Mis redes sociales"
"View More", "Ver más"
"All", "Todos los"
"All vinos", "Todos los vinos"
"All whiskies", "Todos los whiskies"
"You added %1 to your shopping cart.","Añadió %1 a su carrito de compras."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Añadió %1 a su <a href=""%2"">carrito de compras</a>"
"Load next items", "Cargar más"
"The fewest you may purchase is %1","La compra mínima es de %1"
"delete","eliminar"
"remove","quitar"
